date,new_deaths,icu_patients,hosp_patients,new_tests,people_vaccinated,people_fully_vaccinated,new_cases
2/29/2020,1,0,0,0,0,0,34
3/7/2020,15,0,0,6867,0,0,265
3/14/2020,42,0,0,46013,0,0,2627
3/21/2020,224,0,0,344810,0,0,20895
3/28/2020,1337,0,0,760008,0,0,82109
4/4/2020,5753,0,0,1008036,0,0,164438
4/11/2020,13024,0,0,1186777,0,0,218050
4/18/2020,15803,0,0,1111062,0,0,199013
4/25/2020,15132,0,0,1464945,0,0,200703
5/2/2020,13785,0,0,1890326,0,0,200132
5/9/2020,13053,0,0,2239981,0,0,186495
5/16/2020,10239,0,0,2703744,0,0,171237
5/23/2020,8297,0,0,2897522,0,0,166990
5/30/2020,7569,0,0,3229596,0,0,148658
6/6/2020,6162,0,0,3574758,0,0,149030
6/13/2020,5511,0,0,3808428,0,0,148034
6/20/2020,4435,0,0,4290259,0,0,175249
6/27/2020,6130,0,0,4713566,0,0,244843
7/4/2020,4347,0,0,5254262,0,0,328340
7/11/2020,5375,0,0,6007438,0,0,383992
7/18/2020,6549,40705,152737,6596245,0,0,457894
7/25/2020,7523,87448,313752,6815014,0,0,471701
8/1/2020,8061,98888,327394,6308248,0,0,436218
8/8/2020,7851,97485,314020,6075323,0,0,381587
8/15/2020,7674,89705,286937,6061026,0,0,368907
8/22/2020,6717,80552,262962,5908890,0,0,324868
8/29/2020,6315,71900,233864,5961302,0,0,295581
9/5/2020,5836,65443,213435,6063336,0,0,290882
9/12/2020,5018,61170,196629,5661575,0,0,252456
9/19/2020,5236,56585,183823,6774035,0,0,276932
9/26/2020,4801,54858,183432,6885584,0,0,303286
10/3/2020,4558,56021,190321,6847985,0,0,297028
10/10/2020,4730,59736,210572,8036308,0,0,326390
10/17/2020,4713,65123,235010,7617740,0,0,377349
10/24/2020,5684,72525,264237,8587663,0,0,436177
10/31/2020,6107,80626,301371,8805496,0,0,544216
11/7/2020,6852,90700,351943,9747572,0,0,754275
11/14/2020,8706,106066,437507,10926635,0,0,961193
11/21/2020,10132,127514,533384,12783138,0,0,1159103
11/28/2020,12251,145072,603412,11664329,0,0,1191736
12/5/2020,13866,159587,675308,12521963,0,0,1221160
12/12/2020,17119,170153,722416,12839573,0,0,1446449
12/19/2020,19105,180063,775680,12558263,2947449,78668,1527892
12/26/2020,19045,186153,807975,11042299,15950067,146969,1434655
1/2/2021,18838,192894,854068,10642038,33351492,299839,1313791
1/9/2021,20835,198451,894803,12913804,57970908,3571228,1603592
1/16/2021,23639,199796,886002,12602016,93185246,13939702,1644742
1/23/2021,22200,188191,811801,11902464,135266771,23917818,1313760
1/30/2021,22662,168989,709240,11353415,183436179,41314739,1093806
2/6/2021,19967,148992,604151,10632854,231672584,67612313,896661
2/13/2021,18176,127860,505607,9186638,280191525,103487162,697968
2/20/2021,17171,107702,418707,8050973,322660739,141495098,497340
2/27/2021,13716,89985,351186,9265517,362550406,185119783,466053
3/6/2021,10488,75606,291358,9075141,426504616,232701000,429919
3/13/2021,8992,65974,255701,8708991,505370862,282347728,383872
3/20/2021,6677,60164,239638,8485327,589279709,334007166,381751
3/27/2021,6147,58209,238330,8627033,675140124,385568059,405006
4/3/2021,5552,59349,246849,8527156,762010095,455122705,454348
4/10/2021,4881,62960,260953,8729060,852537946,536990019,449981
4/17/2021,4932,66371,273292,8946936,940387116,625400678,472558
4/24/2021,4693,68413,275044,8767932,1003730973,702444033,414750
5/1/2021,4522,66223,254119,8391325,1055842212,778544622,345515
5/8/2021,4451,62362,229794,7721152,1094865542,852542228,302994
5/15/2021,4078,56066,200516,7101350,1125902598,917160425,242875
