date,RSV Detections,RSV Tests,Surveillance Year,Week ending Code ,temp_c,vapor_pressure_hpa,temp_c_1,temp_c_2,vapor_pressure_hpa_1,vapor_pressure_hpa_2
2010-07-24,61,2491,1011,1029,25.58393690058173,21.776149818076025,25.54223219440508,24.95494969080809,21.36237631721727,20.29125613175632
2010-07-31,42,2407,1011,1030,24.84838410350221,20.76124009257782,25.58393690058173,25.54223219440508,21.776149818076025,21.36237631721727
2010-08-07,40,2122,1011,1031,25.33445584422748,21.06714088245653,24.84838410350221,25.58393690058173,20.76124009257782,21.776149818076025
2010-08-14,58,2840,1011,1032,25.37013728720484,21.069993697762705,25.33445584422748,24.84838410350221,21.06714088245653,20.76124009257782
2010-08-21,57,3051,1011,1033,24.440773638182964,20.19722395479161,25.37013728720484,25.33445584422748,21.069993697762705,21.06714088245653
2010-08-28,55,3169,1011,1034,22.60293551756363,17.111330902302235,24.440773638182964,25.37013728720484,20.19722395479161,21.069993697762705
2010-09-04,68,3683,1011,1035,22.346871732790405,16.49809144458036,22.60293551756363,24.440773638182964,17.111330902302235,20.19722395479161
2010-09-11,96,4307,1011,1036,20.21471323065096,14.973124057437683,22.346871732790405,22.60293551756363,16.49809144458036,17.111330902302235
2010-09-18,98,4674,1011,1037,19.94849542444145,14.810443278360502,20.21471323065096,22.346871732790405,14.973124057437683,16.49809144458036
2010-09-25,143,5247,1011,1038,20.1354837821466,15.09936018822344,19.94849542444145,20.21471323065096,14.810443278360502,14.973124057437683
2010-10-02,157,5113,1011,1039,17.299287154974717,12.58394319128985,20.1354837821466,19.94849542444145,15.09936018822344,14.810443278360502
2010-10-09,258,5604,1011,1040,15.41287218791354,10.794150237402574,17.299287154974717,20.1354837821466,12.58394319128985,15.09936018822344
2010-10-16,294,6163,1011,1041,14.4934693877551,10.010919569038974,15.41287218791354,17.299287154974717,10.794150237402574,12.58394319128985
2010-10-23,366,6437,1011,1042,13.114688595159912,9.566132896838797,14.4934693877551,15.41287218791354,10.010919569038974,10.794150237402574
2010-10-30,388,6592,1011,1043,12.334532985872997,9.253549618924357,13.114688595159912,14.4934693877551,9.566132896838797,10.010919569038974
2010-11-06,526,7236,1011,1044,8.849110329981743,7.137607083483736,12.334532985872997,13.114688595159912,9.253549618924357,9.566132896838797
2010-11-13,592,7877,1011,1045,8.539654841276374,7.315178076105489,8.849110329981743,12.334532985872997,7.137607083483736,9.253549618924357
2010-11-20,760,8505,1011,1046,7.0457737392593405,7.186858867834276,8.539654841276374,8.849110329981743,7.315178076105489,7.137607083483736
2010-11-27,983,8344,1011,1047,4.256977030689627,5.596850744315214,7.0457737392593405,8.539654841276374,7.186858867834276,7.315178076105489
2010-12-04,1075,9220,1011,1048,2.4605347769930472,5.065645028539725,4.256977030689627,7.0457737392593405,5.596850744315214,7.186858867834276
2010-12-11,1350,10145,1011,1049,-0.0526561684117954,4.115366524705918,2.4605347769930472,4.256977030689627,5.065645028539725,5.596850744315214
2010-12-18,1787,11690,1011,1050,-1.3366785714285714,3.871246679809625,-0.0526561684117954,2.4605347769930472,4.115366524705918,5.065645028539725
2010-12-25,2191,12103,1011,1051,0.5265902326094146,4.729513026145045,-1.3366785714285714,-0.0526561684117954,3.871246679809625,4.115366524705918
2011-01-01,3069,14737,1011,1052,0.0957865754542369,4.336149066844783,0.5265902326094146,-1.3366785714285714,4.729513026145045,3.871246679809625
2011-01-08,3180,15301,1011,1101,-1.113712917606913,3.8186545087609054,0.0957865754542369,0.5265902326094146,4.336149066844783,4.729513026145045
2011-01-15,2979,14488,1011,1102,-2.782377003869541,3.5152472392543146,-1.113712917606913,0.0957865754542369,3.8186545087609054,4.336149066844783
2011-01-22,3574,16487,1011,1103,-1.8607228848974624,3.7922474010802207,-2.782377003869541,-1.113712917606913,3.5152472392543146,3.8186545087609054
2011-01-29,4107,18080,1011,1104,0.6696156074946881,4.605486903200315,-1.8607228848974624,-2.782377003869541,3.7922474010802207,3.5152472392543146
2011-02-05,3938,17371,1011,1105,-1.8469697806751009,3.810555070907619,0.6696156074946881,-1.8607228848974624,4.605486903200315,3.7922474010802207
2011-02-12,4491,19197,1011,1106,-1.5399267701794956,3.480521501612624,-1.8469697806751009,0.6696156074946881,3.810555070907619,4.605486903200315
2011-02-19,4359,19966,1011,1107,6.246775485403375,5.873154399249516,-1.5399267701794956,-1.8469697806751009,3.480521501612624,3.810555070907619
2011-02-26,4230,19341,1011,1108,2.301925623482675,5.020760573805781,6.246775485403375,-1.5399267701794956,5.873154399249516,3.480521501612624
2011-03-05,3808,17657,1011,1109,4.473255301569815,5.515750311043291,2.301925623482675,6.246775485403375,5.020760573805781,5.873154399249516
2011-03-12,3087,17093,1011,1110,5.460246755772918,6.087664943175158,4.473255301569815,2.301925623482675,5.515750311043291,5.020760573805781
2011-03-19,2571,15660,1011,1111,9.2068749827781,7.403830630927034,5.460246755772918,4.473255301569815,6.087664943175158,5.515750311043291
2011-03-26,1879,13588,1011,1112,7.13616844668253,6.537935853320111,9.2068749827781,5.460246755772918,7.403830630927034,6.087664943175158
