date,new_deaths
2/29/2020,1
3/7/2020,15
3/14/2020,42
3/21/2020,224
3/28/2020,1337
4/4/2020,5753
4/11/2020,13024
4/18/2020,15803
4/25/2020,15132
5/2/2020,13785
5/9/2020,13053
5/16/2020,10239
5/23/2020,8297
5/30/2020,7569
6/6/2020,6162
6/13/2020,5511
6/20/2020,4435
6/27/2020,6130
7/4/2020,4347
7/11/2020,5375
7/18/2020,6549
7/25/2020,7523
8/1/2020,8061
8/8/2020,7851
8/15/2020,7674
8/22/2020,6717
8/29/2020,6315
9/5/2020,5836
9/12/2020,5018
9/19/2020,5236
9/26/2020,4801
10/3/2020,4558
10/10/2020,4730
10/17/2020,4713
10/24/2020,5684
10/31/2020,6107
11/7/2020,6852
11/14/2020,8706
11/21/2020,10132
11/28/2020,12251
12/5/2020,13866
12/12/2020,17119
12/19/2020,19105
12/26/2020,19045
1/2/2021,18838
1/9/2021,20835
1/16/2021,23639
1/23/2021,22200
1/30/2021,22662
2/6/2021,19967
2/13/2021,18176
2/20/2021,17171
2/27/2021,13716
3/6/2021,10488
3/13/2021,8992
3/20/2021,6677
3/27/2021,6147
4/3/2021,5552
4/10/2021,4881
4/17/2021,4932
4/24/2021,4693
5/1/2021,4522
5/8/2021,4451
5/15/2021,4078
5/22/2021,3676
5/29/2021,3480
6/5/2021,2792
6/12/2021,2807
6/19/2021,1893
6/26/2021,1961
7/3/2021,1825
7/10/2021,1497
7/17/2021,1877
7/24/2021,2040
7/31/2021,2816
8/7/2021,4140
8/14/2021,5279
8/21/2021,7695
8/28/2021,9902
9/4/2021,11573
9/11/2021,11766
9/18/2021,13543
9/25/2021,13258
10/2/2021,13246
10/9/2021,11642
10/16/2021,10677
10/23/2021,11168
10/30/2021,9086
11/6/2021,7583
11/13/2021,7409
11/20/2021,10348
11/27/2021,6789
12/4/2021,7226
12/11/2021,8256
12/18/2021,9002
12/25/2021,11667
1/1/2022,9170
1/8/2022,10594
1/15/2022,13844
1/22/2022,15510
1/29/2022,18599
2/5/2022,18833
2/12/2022,18082
2/19/2022,15956
2/26/2022,13064
3/5/2022,10400
3/12/2022,8738
3/19/2022,6147
3/26/2022,5187
4/2/2022,4346
4/9/2022,3180
4/16/2022,3468
4/23/2022,2645
4/30/2022,2093
5/7/2022,2646
5/14/2022,2020
